nationalite,studio,timing,title,titre_original,entrees_fr,num_actors,actor_1,actor_2,actor_3,num_director,director_1,director_2,director_3,popularity_actor_1,popularity_actor_2,popularity_actor_3,popularity_director_1,popularity_director_2,continents
 U.S.A., The Walt Disney Company France ,150,Les Gardiens de la Galaxie 3,Guardians of the Galaxy Vol. 3,1323124,3,Chris Pratt,Zoe Saldana,Dave Bautista,2,James Gunn,James Gunn,,5.0,82.0,950.0,,64.0,Amérique du Nord
 U.S.A., Universal Pictures International France ,141,Fast & Furious X,Fast X,1140846,3,Vin Diesel,Michelle Rodriguez,Jason Momoa,3,Louis Leterrier,Dan Mazeau,Justin Lin,29.0,14.0,26.0,18.0,512.0,Amérique du Nord
 Suède, Bac Films ,149,Sans filtre,Triangle of Sadness,179786,3,Harris Dickinson,Charlbi Dean Kriek,Woody Harrelson,2,Ruben Östlund,Ruben Östlund,,6.0,557.0,951.0,,65.0,Europe
 U.S.A., The Walt Disney Company France ,108,Le Menu,The Menu,124279,3,Ralph Fiennes,Anya Taylor-Joy,Nicholas Hoult,3,Mark Mylod,Seth Reiss,Will Tracy,28.0,83.0,952.0,706.0,513.0,Amérique du Nord
 Japon, Eurozoom ,116,Le Château Solitaire dans le Miroir,Kagami no Kojou,20761,3,Mana Ashida,Yûki Kaji,Takumi Kitamura,2,Keiichi Hara,Miho Maruo,,30.0,84.0,953.0,,514.0,Asie
 Grande-Bretagne, Universal Pictures International France ,116,Une robe pour Mrs. Harris,Mrs. Harris Goes to Paris,38711,3,Lesley Manville,Isabelle Huppert,Lambert Wilson,3,Anthony Fabian,Carroll Cartwright,Anthony Fabian,31.0,85.0,110.0,66.0,515.0,Europe
 Australie, Metropolitan FilmExport ,109,Trois Mille ans à t’attendre,Three Thousand Years of Longing,95617,3,Idris Elba,Tilda Swinton,Aamito Lagum,3,George Miller,George Miller,Augusta Gore,174.0,558.0,954.0,707.0,67.0,Océanie
 U.S.A., Paramount Pictures France ,134,Donjons & Dragons : L'Honneur des voleurs,Dungeons & Dragons: Honor Among Thieves,420168,3,Chris Pine,Michelle Rodriguez,Regé-Jean Page,4,Jonathan Goldstein (XII),John Francis Daley,Jonathan Goldstein (XII),175.0,14.0,955.0,68.0,516.0,Amérique du Nord
 U.S.A., Paramount Pictures France ,113,"Mean Girls, lolita malgré moi",Mean Girls,53830,3,Angourie Rice,Reneé Rapp,Avantika Vandanapu,3,Samantha Jayne,Arturo Perez Jr.,Tina Fey,32.0,559.0,956.0,708.0,517.0,Amérique du Nord
 U.S.A., The Walt Disney Company France ,122,Le Manoir hanté,Haunted Mansion,288762,3,Lakeith Stanfield,Tiffany Haddish,Owen Wilson,2,Justin Simien,Katie Dippold,,176.0,560.0,957.0,,518.0,Amérique du Nord
 U.S.A., Sony Pictures Releasing France ,103,Le Challenge,No Hard Feelings,54361,3,Jennifer Lawrence,Andrew Barth Feldman,Laura Benanti,3,Gene Stupnitsky,Gene Stupnitsky,John M. Phillips,177.0,561.0,958.0,709.0,69.0,Amérique du Nord
 Allemagne, Pyramide Distribution ,152,Le Diable n'existe pas,Sheytan vojud nadarad,26645,3,Ehsan Mirhosseini,Shaghayegh Shourian,Kaveh Ahangar,2,Mohammad Rasoulof,Mohammad Rasoulof,,178.0,562.0,959.0,,70.0,Europe
 Japon, Eurozoom ,122,Suzume,Suzume no Tojimari,181032,3,Lévanah Solomon,Nanoka Hara,Benjamin Jungers,2,Makoto Shinkai,Makoto Shinkai,,33.0,563.0,960.0,,71.0,Asie
 U.S.A., The Walt Disney Company France ,127,Mort sur le Nil,Death on the Nile,336133,3,Kenneth Branagh,Gal Gadot,Emma Mackey,2,Kenneth Branagh,Michael Green,,17.0,564.0,961.0,,307.0,Amérique du Nord
 Mongolie, Eurozoom ,98,Si seulement je pouvais hiberner,Baavgai Bolohson,26073,3,Battsooj Uurtsaikh,Nominjiguur Tsend,Tuguldur Batsaikhan,2,Zoljargal Purevdash,Zoljargal Purevdash,,179.0,565.0,962.0,,72.0,Asie
 U.S.A., Metropolitan FilmExport ,170,John Wick : Chapitre 4,John Wick: Chapter 4,411048,3,Keanu Reeves,Donnie Yen,Bill Skarsgård,3,Chad Stahelski,Michael Finch,Shay Hatten,180.0,55.0,963.0,710.0,519.0,Amérique du Nord
 Irlande, The Walt Disney Company France ,114,Les Banshees d'Inisherin,The Banshees Of Inisherin,99482,3,Colin Farrell,Brendan Gleeson,Kerry Condon,2,Martin McDonagh,Martin McDonagh,,181.0,566.0,964.0,,73.0,Europe
 U.S.A., The Walt Disney Company France ,136,La Petite sirène,The Little Mermaid,582814,3,Halle Bailey,Cerise Calixte,Jonah Hauer-King,2,Rob Marshall,David Magee,,182.0,567.0,965.0,,308.0,Amérique du Nord
 U.S.A., The Walt Disney Company France ,153,Le Dernier duel,The Last Duel,147221,3,Matt Damon,Adam Driver,Jodie Comer,3,Ridley Scott,Nicole Holofcener,Matt Damon,183.0,36.0,966.0,711.0,520.0,Amérique du Nord
 U.S.A., Paramount Pictures France ,99,Ninja Turtles: Teenage Years,Teenage Mutant Ninja Turtles: Mutant Mayhem,281644,3,Aloïs Agaësse-Mahieu,Micah Abbey,Kylian Trouillard,4,Jeff Rowe,Kyler Spears,Seth Rogen,184.0,568.0,11.0,712.0,521.0,Amérique du Nord
 U.S.A., Paramount Pictures France ,93,La Pat' Patrouille : La Super Patrouille Le Film,Paw Patrol: The Mighty Movie,646799,3,Alexandre N'Guyen,Finn Lee-Epp,Lisa Caruso,3,Cal Brunker,Bob Barlen,Cal Brunker,34.0,569.0,967.0,4.0,22.0,Amérique du Nord
 Grande-Bretagne, The Walt Disney Company France ,98,Coup de théâtre,See How They Run,56893,3,Sam Rockwell,Saoirse Ronan,Adrien Brody,2,Tom George,Mark Chappell,,7.0,570.0,968.0,,522.0,Europe
 Allemagne, Les Films du Losange ,102,Le Ciel rouge,Roter Himmel,27500,3,Thomas Schubert,Paula Beer,Langston Uibel,2,Christian Petzold,Christian Petzold,,185.0,9.0,969.0,,5.0,Europe
 U.S.A., Sony Pictures Releasing France ,124,S.O.S. Fantômes : L'Héritage,Ghostbusters: Afterlife,280226,3,Carrie Coon,Finn Wolfhard,Mckenna Grace,3,Jason Reitman,Gil Kenan,Jason Reitman,186.0,571.0,115.0,74.0,523.0,Amérique du Nord
