,titre,budget,duree,entrees_fr,franchise,genres,pegi_fr,pegi_usa,entrees_usa,salles_fr,studio,estimation,is_compositeur,annee,origine
662,doctor sleep,45000000,151,147991,0,thriller, Moins de 12 ans ,R,14114124.0,381,warner bros.,,0,2019,etats-unis
663,doctor strange,165000000,115,1001793,1,comicbook, Tous publics ,PG,85058311.0,590,walt disney pictures,,0,2016,etats-unis
664,doctor strange in the multiverse of madness,200000000,126,1438287,1,comicbook, Tous publics ,PG,187420998.0,619,walt disney pictures,,0,2022,etats-unis
665,"dodgeball, même pas mal!",20000000,92,171577,0,comédie,,PG,30070196.0,345,ufd,,0,2004,etats-unis
666,dogma,10000000,130,96736,0,comédie, Tous publics ,R,8669945.0,159,bac films,,1,2000,etats-unis
667,dogville,13800000,177,122090,0,drame,,R,88855.0,193,films du losange,,0,2003,Autre
668,domino,50000000,128,119522,0,aventure - action,,R,4670120.0,286,metropolitan,,0,2005,etats-unis
669,dommage collatéral,85000000,111,166874,0,aventure - action, Moins de 12 ans ,R,15058432.0,332,pathé,,0,2002,etats-unis
670,don jon,6000000,90,165325,0,comédie dramatique, Moins de 12 ans ,R,8677009.0,215,mars distribution,,0,2013,etats-unis
671,don juan demarco,25000000,100,92364,0,comédie, Tous publics ,PG,4556274.0,131,ciby distribution,,0,1995,etats-unis
672,don't worry darling,35000000,123,151272,0,thriller, Tous publics ,R,19353213.0,356,warner bros.,,0,2022,etats-unis
673,donjons & dragons : l'honneur des voleurs,150000000,134,420168,0,fantasy, Tous publics ,PG,37205784.0,570,paramount,,0,2023,etats-unis
674,donjons et dragons,35000000,110,321418,0,fantasy, Tous publics ,PG,7237422.0,397,snd,,0,2000,etats-unis
675,donne-moi des ailes,11791991,113,313479,0,aventure - action, Tous publics ,,,589,snd,,0,2019,france
676,donnie brasco,35000000,125,269267,0,thriller, Tous publics ,R,11660216.0,311,bac films,,0,1997,etats-unis
677,doom,60000000,104,114289,0,aventure - action, Moins de 12 ans ,R,15488870.0,246,uip,,0,2005,etats-unis
678,dos au mur,42000000,102,156939,0,thriller, Tous publics ,PG,8001932.0,254,studiocanal,,0,2012,etats-unis
679,double team,35000000,95,185190,0,aventure - action, Tous publics ,R,5034914.0,263,columbia,,0,1997,etats-unis
