actors,budget,compositor,country,date,director,first_week_entries,franchise,genre,producer,remake,studio,title,url
"
                            Ian McKellen,
                            Cate Blanchett,
                            Elijah Wood",250 000 000 $,Howard Shore,Etats-Unis,  12/12/2012,"
                                    Peter Jackson",1 434 119,Franchise,Fantasy,,,"
                Warner Bros.","
                            Le Hobbit : un voyage inattendu",https://www.jpbox-office.com/fichfilm.php?id=12213&view=2
"
                            Tom Hanks",75 000 000 $,Hans Zimmer,Etats-Unis,  25/07/2007,,1 420 883,,Animation,,,"
                20th Century Fox","
                            Les Simpsons",https://www.jpbox-office.com/fichfilm.php?id=141&view=2
"
                            Eddie Redmayne,
                            Colin Farrell,
                            Ron Perlman,
                            Jon Voight,
                            Johnny Depp",180 000 000 $,James Newton Howard,Etats-Unis,  16/11/2016,"
                                    David Yates",1 420 401,Franchise,Fantasy,,,"
                Warner Bros.","
                            Les Animaux fantastiques",https://www.jpbox-office.com/fichfilm.php?id=15601&view=2
"
                            Benedict Cumberbatch",200 000 000 $,,Etats-Unis,  04/05/2022,"
                                    Sam Raimi",1 438 287,Franchise,Comicbook,Kevin Feige,,"
                Walt Disney Pictures","
                            Doctor Strange in the Multiverse of Madness",https://www.jpbox-office.com/fichfilm.php?id=19544&view=2
"
                            Steve Carell,
                            Gad Elmaleh,
                            Al Pacino,
                            Kristen Wiig",76 000 000 $,,Etats-Unis,  26/06/2013,"
                                    Chris Renaud",1 418 855,Franchise,Animation,,,"
                Universal","
                            Moi, moche et méchant 2",https://www.jpbox-office.com/fichfilm.php?id=12705&view=2
,11 710 000 €,,France,  25/04/2001,"
                                    Jean-Pierre Jeunet",1 185 945,,Romance,,,"
                UFD","
                            Le Fabuleux destin d'Amélie Poulain",https://www.jpbox-office.com/fichfilm.php?id=2076&view=2
,51 460 337 €,,France,  21/01/2015,"
                                    Olivier Megaton",1 192 842,Franchise,Thriller,,,"
                EuropaCorp","
                            Taken 3",https://www.jpbox-office.com/fichfilm.php?id=14195&view=2
,87 000 000 $,,Etats-Unis,  28/02/2001,"
                                    Ridley Scott",1 197 707,Franchise,Thriller,,,"
                UIP","
                            Hannibal",https://www.jpbox-office.com/fichfilm.php?id=2090&view=2
,61 000 000 $,,Etats-Unis,  07/10/2015,,1 190 062,Franchise,Fantasy,,,"
                20th Century Fox","
                            Le Labyrinthe : La Terre brûlée",https://www.jpbox-office.com/fichfilm.php?id=14554&view=2
,110 000 000 $,,Grande-Bretagne,  17/12/1997,"
                                    Roger Spottiswoode",1 202 360,Franchise,Aventure - Action,,,"
                UIP","
                            Demain ne meurt jamais",https://www.jpbox-office.com/fichfilm.php?id=3366&view=2
,110 000 000 $,,Etats-Unis,  16/05/2018,,1 186 493,Franchise,Comicbook,,,"
                20th Century Fox","
                            Deadpool 2",https://www.jpbox-office.com/fichfilm.php?id=17036&view=2
,140 000 000 $,,Etats-Unis,  05/08/1998,"
                                    Michael Bay",1 217 814,,Science Fiction,,,"
                GBVI","
                            Armageddon",https://www.jpbox-office.com/fichfilm.php?id=3042&view=2
,210 000 000 $,,Etats-Unis,  16/07/2014,"
                                    Michael Bay",1 215 124,Franchise,Aventure - Action,,,"
                Paramount","
                            Transformers : l'âge de l'extinction",https://www.jpbox-office.com/fichfilm.php?id=13409&view=2
,63 237 392 €,,France,  02/12/2009,"
                                    Luc Besson",1 213 383,Franchise,Animation,,,"
                EuropaCorp","
                            Arthur et la vengeance de Maltazard",https://www.jpbox-office.com/fichfilm.php?id=9837&view=2
,110 000 000 $,,Etats-Unis,  15/12/2004,"
                                    Steven Soderbergh",1 202 262,Franchise,Comédie,,,"
                Warner Bros.","
                            Ocean's Twelve",https://www.jpbox-office.com/fichfilm.php?id=1054&view=2
,200 000 000 $,,Etats-Unis,  28/04/2010,"
                                    Jon Favreau",1 216 314,Franchise,Comicbook,,,"
                Paramount","
                            Iron Man 2",https://www.jpbox-office.com/fichfilm.php?id=10290&view=2
,190 000 000 $,,Etats-Unis,  03/07/2013,"
                                    Marc Foster",1 209 900,,Aventure - Action,,,"
                Paramount","
                            World War Z",https://www.jpbox-office.com/fichfilm.php?id=12596&view=2
,200 000 000 $,,Etats-Unis,  21/05/2014,"
                                    Bryan Singer",1 223 166,Franchise,Comicbook,,,"
                20th Century Fox","
                            X-Men: Days of Future Past",https://www.jpbox-office.com/fichfilm.php?id=13038&view=2
,160 000 000 $,,Etats-Unis,  18/11/2015,"
                                    Francis Lawrence",1 231 013,Franchise,Fantasy,,,"
                Metropolitan","
                            Hunger Games – La Révolte : Partie 2",https://www.jpbox-office.com/fichfilm.php?id=12883&view=2
"
                            Jennifer Lawrence,
                            Woody Harrelson,
                            Philip Seymour Hoffman,
                            Julianne Moore",160 000 000 $,James Newton Howard,Etats-Unis,  18/11/2015,"
                                    Francis Lawrence",1 231 013,Franchise,Fantasy,,,"
                Metropolitan","
                            Hunger Games – La Révolte : Partie 2",https://www.jpbox-office.com/fichfilm.php?id=12883&view=2
,129 000 000 $,,Etats-Unis,  06/02/2019,,1 224 811,Franchise,Animation,,,"
                Universal","
                            Dragons 3 : Le monde caché",https://www.jpbox-office.com/fichfilm.php?id=18167&view=2
"
                            Kristen Wiig",129 000 000 $,,Etats-Unis,  06/02/2019,,1 224 811,Franchise,Animation,,,"
                Universal","
                            Dragons 3 : Le monde caché",https://www.jpbox-office.com/fichfilm.php?id=18167&view=2
"
                            Dwayne Johnson",,,Etats-Unis,  30/11/2016,"
                                    Ron Clements",1 073 991,,Animation,,,"
                Walt Disney Pictures","
                            Vaiana, la légende du bout du monde",https://www.jpbox-office.com/fichfilm.php?id=15636&view=2
"
                            Dwayne Johnson",150 000 000 $,,Etats-Unis,  30/11/2016,"
                                    Ron Clements",1 073 991,,Animation,,,"
                Walt Disney Pictures","
                            Vaiana, la légende du bout du monde",https://www.jpbox-office.com/fichfilm.php?id=15636&view=2
,52 000 000 $,,Etats-Unis,  31/10/2018,"
                                    Bryan Singer",1 077 661,,Drame,,,"
                20th Century Fox","
                            Bohemian Rhapsody",https://www.jpbox-office.com/fichfilm.php?id=17394&view=2
,12 014 679 €,,France,  29/02/2012,"
                                    Michel Hazanavicius",1 082 028,,Comédie,,,"
                Mars Distribution","
                            Les Infidèles",https://www.jpbox-office.com/fichfilm.php?id=12528&view=2
,120 000 000 $,,Etats-Unis,  28/11/2001,,1 075 085,,Animation,,,"
                GBVI","
                            Atlantide, l'empire perdu",https://www.jpbox-office.com/fichfilm.php?id=2083&view=2
,92 000 000 $,,Etats-Unis,  21/08/1996,"
                                    Jan De Bont",1 078 707,,Catastrophe,,,"
                UIP","
                            Twister",https://www.jpbox-office.com/fichfilm.php?id=3667&view=2
,58 800 000 $,,Etats-Unis,  18/02/2015,"
                                    Clint Eastwood",1 083 056,,Guerre,,,"
                Warner Bros.","
                            American Sniper",https://www.jpbox-office.com/fichfilm.php?id=14769&view=2
,145 000 000 $,,Etats-Unis,  06/06/2012,,1 087 767,Franchise,Animation,,,"
                Paramount","
                            Madagascar 3 Bons Baisers D’Europe",https://www.jpbox-office.com/fichfilm.php?id=11365&view=2
,75 000 000 $,,Etats-Unis,  27/11/1996,,1 085 065,,Animation,,,"
                GBVI","
                            Le Bossu de Notre Dame",https://www.jpbox-office.com/fichfilm.php?id=3660&view=2
,3 999 990 €,,France,  07/04/2004,"
                                    Jean-Jacques Annaud",1 083 231,,Aventure - Action,,,"
                Pathé","
                            Deux frères",https://www.jpbox-office.com/fichfilm.php?id=1050&view=2
"
                            Sacha Baron Cohen,
                            Jessica Chastain,
                            Bryan Cranston,
                            José Garcia,
                            Frances McDormand,
                            Chris Rock,
                            Jean-Paul Rouve,
                            Ben Stiller,
                            Michael Youn",145 000 000 $,Hans Zimmer,Etats-Unis,  06/06/2012,,1 087 767,Franchise,Animation,,,"
                Paramount","
                            Madagascar 3 Bons Baisers D’Europe",https://www.jpbox-office.com/fichfilm.php?id=11365&view=2
,130 000 000 $,,Etats-Unis,  30/11/2011,,1 089 789,,Animation,,,"
                Paramount","
                            Le Chat Potté",https://www.jpbox-office.com/fichfilm.php?id=11833&view=2
"
                            Kevin Hart",,Alexandre Desplat,Etats-Unis,  27/07/2016,"
                                    Chris Renaud",1 093 363,Franchise,Animation,,,"
                Universal","
                            Comme des bêtes",https://www.jpbox-office.com/fichfilm.php?id=15557&view=2
,11 029 596 €,,France,  25/04/2012,,1 086 313,,Comédie,,Remake,"
                Pathé","
                            Le Prénom",https://www.jpbox-office.com/fichfilm.php?id=12646&view=2
"
                            Kevin Hart",75 000 000 $,Alexandre Desplat,Etats-Unis,  27/07/2016,"
                                    Chris Renaud",1 093 363,Franchise,Animation,,,"
                Universal","
                            Comme des bêtes",https://www.jpbox-office.com/fichfilm.php?id=15557&view=2
,23 364 080 €,,France,  15/04/2009,"
                                    Michel Hazanavicius",1 090 269,Franchise,Comédie,,,"
                Gaumont","
                            OSS 117 : Rio ne répond plus",https://www.jpbox-office.com/fichfilm.php?id=10286&view=2
,295 000 000 $,,Etats-Unis,  28/06/2023,"
                                    James Mangold",1 089 875,Franchise,Aventure - Action,,,"
                Walt Disney Pictures","
                            Indiana Jones et le Cadran de la Destinée",https://www.jpbox-office.com/fichfilm.php?id=21346&view=2
"
                            Harrison Ford,
                            Antonio Banderas,
                            Mads Mikkelsen",295 000 000 $,John Williams,Etats-Unis,  28/06/2023,"
                                    James Mangold",1 089 875,Franchise,Aventure - Action,Steven Spielberg,,"
                Walt Disney Pictures","
                            Indiana Jones et le Cadran de la Destinée",https://www.jpbox-office.com/fichfilm.php?id=21346&view=2
,205 000 000 $,,Etats-Unis,  26/08/2020,"
                                    Christopher Nolan",948 378,,Science Fiction,,,"
                Warner Bros.","
                            Tenet",https://www.jpbox-office.com/fichfilm.php?id=19866&view=2
,45 000 000 $,,Etats-Unis,  25/07/2001,"
                                    Keenen Ivory Wayans",945 404,Franchise,Comédie,,,"
                Bac Films","
                            Scary Movie 2",https://www.jpbox-office.com/fichfilm.php?id=2097&view=2
