film_id,date_sortie
tt13024674,"October 29, 2021"
tt0083833,September 1982
tt26787296,"October 25, 2023"
tt0054047,"February 1, 1961"
tt14253846,"September 23, 2022"
tt0080684,"August 20, 1980"
tt0103644,"August 26, 1992"
tt0377309,No date found
tt0278504,September 2002
tt1323594,"August 3, 2010"
tt1270798,"June 1, 2011"
tt10304142,"November 1, 2022"
tt8521778,"February 14, 2024"
tt14550346,"May 25, 2023"
tt15474916,"September 28, 2022"
tt0179116,"November 22, 2004"
tt10272386,"May 26, 2021"
tt4481414,"September 2, 2017"
tt3416742,"October 30, 2015"
tt4139588,"January 25, 2019"
tt0057193,"January 8, 1964"
tt14824590,"February 15, 2023"
tt0151804,"August 6, 2003"
tt0317705,"November 10, 2004"
tt0221027,"September 19, 2001"
tt6394270,"January 22, 2020"
tt0190332,"May 18, 2000"
tt15314262,No date found
tt0096446,"May 23, 1988"
tt13231544,"May 19, 2023"
tt10651230,"November 6, 2023"
tt0120912,"August 7, 2002"
tt13885428,No date found
tt0177789,"October 4, 2000"
tt0119008,"March 13, 1997"
tt1674782,"December 18, 2024"
tt14966898,"December 9, 2023"
tt0380510,"February 10, 2010"
tt19770238,"May 21, 2022"
tt9620288,"December 1, 2021"
tt1735898,"June 11, 2012"
tt1175709,"November 22, 2011"
tt0120888,"June 24, 1998"
tt0056172,"March 16, 1963"
tt21097228,No date found
tt0108160,"November 17, 1993"
tt9362722,"May 31, 2023"
tt1226837,"February 6, 2019"
tt0413300,"April 27, 2007"
tt13327038,"September 16, 2022"
tt0870984,"May 18, 2009"
tt9243804,"January 3, 2022"
tt0207201,"February 14, 2001"
tt4196776,"July 12, 2016"
tt26546123,No date found
tt19760052,"May 24, 2023"
tt0040308,"September 22, 1950"
tt0477348,"May 19, 2007"
tt5040012,No date found
tt0114681,"May 20, 1995"
tt0324216,"January 21, 2004"
tt9777666,"July 2, 2021"
tt21064584,"January 24, 2024"
tt0361620,"April 20, 2005"
tt1979376,"June 14, 2019"
tt2222042,"April 14, 2021"
tt15744298,"December 17, 2023"
tt19356262,"March 6, 2024"
tt12593682,"July 18, 2022"
tt12037194,"May 15, 2024"
tt0311429,"October 1, 2003"
tt1343727,"September 16, 2012"
tt0114898,"October 25, 1995"
tt0120915,"October 13, 1999"
tt8106534,"December 13, 2019"
tt6412452,"November 16, 2018"
tt5697572,"December 25, 2019"
tt6722400,No date found
tt0122718,"September 6, 1998"
tt0112431,"February 21, 1996"
tt10767052,"December 20, 2023"
tt13238346,"September 2, 2023"
tt9114286,"November 9, 2022"
tt0092890,"September 18, 1987"
tt0298130,"February 1, 2003"
tt1016150,"October 28, 2022"
tt0119396,"April 1, 1998"
tt0343818,"July 28, 2004"
tt26612950,"March 6, 2024"
tt0100405,"November 28, 1990"
tt3099498,"November 23, 2014"
tt27774989,No date found
tt2094116,No date found
tt12412888,"March 30, 2022"
tt21270966,No date found
tt1013752,"April 8, 2009"
tt5113044,"June 13, 2022"
tt8629748,"March 6, 2020"
tt0435705,"April 25, 2007"
tt2328900,"February 27, 2019"
tt8718158,"May 26, 2022"
tt0191397,No date found
tt2719848,"September 4, 2015"
tt0088939,May 1986
tt0286788,"July 23, 2003"
tt8080204,"May 26, 2023"
tt1571234,"December 12, 2018"
tt27550022,No date found
tt0082507,No date found
tt5580036,"January 15, 2018"
tt0033467,"July 3, 1946"
tt5433140,"May 17, 2023"
tt4881806,"June 6, 2018"
tt4465564,"February 8, 2017"
tt0088247,"April 24, 1985"
tt0486655,"October 24, 2007"
tt30769141,"March 15, 2024"
tt0120689,"March 1, 2000"
tt0114369,"January 31, 1996"
tt0087884,"May 19, 1984"
tt19244260,No date found
tt0235198,"March 6, 2002"
tt3501632,"October 25, 2017"
tt0091474,"April 9, 1987"
tt5215952,"May 18, 2016"
tt14124080,No date found
tt0084234,No date found
tt1745960,"May 18, 2022"
tt0086567,"May 19, 1983"
tt26736843,"June 5, 2024"
tt8359848,"May 13, 2018"
tt10128846,No date found
tt0086250,"March 7, 1984"
tt0093822,"May 11, 1987"
tt6924650,"November 6, 2019"
tt0084707,"March 30, 1983"
tt0382932,"July 8, 2007"
tt0058659,No date found
tt0072684,"September 8, 1976"
tt13143964,"October 23, 2020"
tt0088680,"May 12, 1986"
tt4779682,"August 22, 2018"
tt0458352,"September 9, 2006"
tt0356150,"September 7, 2004"
tt2333784,"August 7, 2014"
tt0098554,No date found
tt0166924,"May 16, 2001"
tt0307453,"October 13, 2004"
tt0118617,"February 4, 1998"
tt0112697,"April 10, 1996"
tt22004344,No date found
tt0116778,No date found
tt15679400,"January 29, 2023"
tt0038650,"July 28, 1948"
tt1436562,"April 13, 2011"
tt21979910,No date found
tt0114924,"August 16, 1995"
tt1189073,"May 19, 2011"
tt1528100,"December 24, 2014"
tt1453405,"July 10, 2013"
tt1596343,"May 4, 2011"
tt4996328,No date found
tt26047818,"January 24, 2024"
tt3470600,"January 21, 2017"
tt0145681,"January 26, 2000"
tt4262980,"December 10, 2017"
tt2179136,"February 18, 2015"
tt1560220,"October 30, 2019"
tt13141250,No date found
tt0457430,"May 27, 2006"
tt13321244,No date found
tt0045943,"October 16, 1953"
tt0411705,"May 16, 2004"
tt4731136,"February 15, 2017"
tt5727208,"January 31, 2020"
tt0080745,"January 28, 1981"
tt2267998,"October 8, 2014"
tt20415224,"April 24, 2024"
tt1411238,"February 16, 2011"
tt18363072,No date found
tt4116284,"February 1, 2017"
tt1375666,"July 21, 2010"
tt3704428,"May 25, 2022"
